"number","name","state","points","rating","opponents","avg_opponent_rating"
1,"Gary Hua","ON",6,1794,"W-39 W-21 W-18 W-14 W-7 D-12 D-4",1605.28571428571
2,"Dakshesh Daruri","MI",6,1553,"W-63 W-58 L-4 W-17 W-16 W-20 W-7",1469.28571428571
3,"Aditya Bajaj","MI",6,1384,"L-8 W-61 W-25 W-21 W-11 W-13 W-12",1563.57142857143
4,"Patrick H Schilling","MI",5.5,1716,"W-23 D-28 W-2 W-26 D-5 W-19 D-1",1573.57142857143
5,"Hanshi Zuo","MI",5.5,1655,"W-45 W-37 D-12 D-13 D-4 W-14 W-17",1500.85714285714
6,"Hansen Song","OH",5,1686,"W-34 D-29 L-11 W-35 D-10 W-27 W-21",1518.71428571429
7,"Gary Dee Swathell","MI",5,1649,"W-57 W-46 W-13 W-11 L-1 W-9 L-2",1372.14285714286
8,"Ezekiel Houghton","MI",5,1641,"W-3 W-32 L-14 L-9 W-47 W-28 W-19",1468.42857142857
9,"Stefano Lee","ON",5,1411,"W-25 L-18 W-59 W-8 W-26 L-7 W-20",1523.14285714286
10,"Anvit Rao","MI",5,1365,"D-16 L-19 W-55 W-31 D-6 W-25 W-18",1554.14285714286
11,"Cameron William Mc Leman","MI",4.5,1712,"D-38 W-56 W-6 L-7 L-3 W-34 W-26",1467.57142857143
12,"Kenneth J Tack","MI",4.5,1663,"W-42 W-33 D-5 W-38 H- D-1 L-3",1506.16666666667
13,"Torrance Henry Jr","MI",4.5,1666,"W-36 W-27 L-7 D-5 W-33 L-3 W-32",1497.85714285714
14,"Bradley Shaw","MI",4.5,1610,"W-54 W-44 W-8 L-1 D-27 L-5 W-31",1515
15,"Zachary James Houghton","MI",4.5,1220,"D-19 L-16 W-30 L-22 W-54 W-33 W-38",1483.85714285714
16,"Mike Nikitin","MI",4,1604,"D-10 W-15 H- W-39 L-2 W-36 U-",1385.8
17,"Ronald Grzegorczyk","MI",4,1629,"W-48 W-41 L-26 L-2 W-23 W-22 L-5",1498.57142857143
18,"David Sundeen","MI",4,1600,"W-47 W-9 L-1 W-32 L-19 W-38 L-10",1480
19,"Dipankar Roy","MI",4,1564,"D-15 W-10 W-52 D-28 W-18 L-4 L-8",1426.28571428571
20,"Jason Zheng","MI",4,1595,"L-40 W-49 W-23 W-41 W-28 L-2 L-9",1410.85714285714
21,"Dinh Dang Bui","ON",4,1563,"W-43 L-1 W-47 L-3 W-40 W-39 L-6",1470.42857142857
22,"Eugene L Mcclure","MI",4,1555,"W-64 D-52 L-28 W-15 H- L-17 W-40",1300.33333333333
23,"Alan Bui","ON",4,1363,"L-4 W-43 L-20 W-58 L-17 W-37 W-46",1213.85714285714
24,"Michael R Aldrich","MI",4,1229,"L-28 L-47 W-43 L-25 W-60 W-44 W-39",1357
25,"Loren Schwiebert","MI",3.5,1745,"L-9 W-53 L-3 W-24 D-34 L-10 W-47",1363.28571428571
26,"Max Zhu","ON",3.5,1579,"W-49 W-40 W-17 L-4 L-9 D-32 L-11",1506.85714285714
27,"Gaurav Gidwani","MI",3.5,1552,"W-51 L-13 W-46 W-37 D-14 L-6 U-",1221.66666666667
28,"Sofia Adina Stanescu-Bellu","MI",3.5,1507,"W-24 D-4 W-22 D-19 L-20 L-8 D-36",1522.14285714286
29,"Chiedozie Okorie","MI",3.5,1602,"W-50 D-6 L-38 L-34 W-52 W-48 U-",1313.5
30,"George Avery Jones","ON",3.5,1522,"L-52 D-64 L-15 W-55 L-31 W-61 W-50",1144.14285714286
31,"Rishi Shetty","MI",3.5,1494,"L-58 D-55 W-64 L-10 W-30 W-50 L-14",1259.85714285714
32,"Joshua Philip Mathews","ON",3.5,1441,"W-61 L-8 W-44 L-18 W-51 D-26 L-13",1378.71428571429
33,"Jade Ge","MI",3.5,1449,"W-60 L-12 W-50 D-36 L-13 L-15 W-51",1276.85714285714
34,"Michael Jeffery Thomas","MI",3.5,1399,"L-6 W-60 L-37 W-29 D-25 L-11 W-52",1375.28571428571
35,"Joshua David Lee","MI",3.5,1438,"L-46 L-38 W-56 L-6 W-57 D-52 W-48",1149.71428571429
36,"Siddharth Jha","MI",3.5,1355,"L-13 W-57 W-51 D-33 H- L-16 D-28",1388.16666666667
37,"Amiyatosh Pwnanandam","MI",3.5,980,"B- L-5 W-34 L-27 H- L-23 W-61",1384.8
38,"Brian Liu","MI",3,1423,"D-11 W-35 W-29 L-12 H- L-18 L-15",1539.16666666667
39,"Joel R Hendon","MI",3,1436,"L-1 W-54 W-40 L-16 W-44 L-21 L-24",1429.57142857143
40,"Forest Zhang","MI",3,1348,"W-20 L-26 L-39 W-59 L-21 W-56 L-22",1390.57142857143
41,"Kyle William Murphy","MI",3,1403,"W-59 L-17 W-58 L-20 X- U- U-",1248.5
42,"Jared Ge","MI",3,1332,"L-12 L-50 L-57 D-60 D-61 W-64 W-56",1149.85714285714
43,"Robert Glen Vasey","MI",3,1283,"L-21 L-23 L-24 W-63 W-59 L-46 W-55",1106.57142857143
44,"Justin D Schilling","MI",3,1199,"B- L-14 L-32 W-53 L-39 L-24 W-59",1327
45,"Derek Yan","MI",3,1242,"L-5 L-51 D-60 L-56 W-63 D-55 W-58",1152
46,"Jacob Alexander Lavalley","MI",3,377,"W-35 L-7 L-27 L-50 W-64 W-43 L-23",1357.71428571429
47,"Eric Wright","MI",2.5,1362,"L-18 W-24 L-21 W-61 L-8 D-51 L-25",1392
48,"Daniel Khain","MI",2.5,1382,"L-17 W-63 H- D-52 H- L-29 L-35",1355.8
49,"Michael J Martin","MI",2.5,1291,"L-26 L-20 D-63 D-64 W-58 H- U-",1285.8
50,"Shivam Jha","MI",2.5,1056,"L-29 W-42 L-33 W-46 H- L-31 L-30",1296
51,"Tejas Ayyagari","MI",2.5,1011,"L-27 W-45 L-36 W-57 L-32 D-47 L-33",1356.14285714286
52,"Ethan Guo","MI",2.5,935,"W-30 D-22 L-19 D-48 L-29 D-35 L-34",1494.57142857143
53,"Jose C Ybarra","MI",2,1393,"H- L-25 H- L-44 U- W-57 U-",1345.33333333333
54,"Larry Hodge","MI",2,1270,"L-14 L-39 L-61 B- L-15 L-59 W-64",1206.16666666667
55,"Alex Kong","MI",2,1186,"L-62 D-31 L-10 L-30 B- D-45 L-43",1406
56,"Marisa Ricci","MI",2,1153,"H- L-11 L-35 W-45 H- L-40 L-42",1414.4
57,"Michael Lu","MI",2,1092,"L-7 L-36 W-42 L-51 L-35 L-53 B-",1363
58,"Viraj Mohile","MI",2,917,"W-31 L-2 L-41 L-23 L-49 B- L-45",1391
59,"Sean M Mc Cormick","MI",2,853,"L-41 B- L-9 L-40 L-43 W-54 L-44",1319
60,"Julia Shen","MI",1.5,967,"L-33 L-34 D-45 D-42 L-24 H- U-",1330.2
61,"Jezzel Farkas","ON",1.5,955,"L-32 L-3 W-54 L-47 D-42 L-30 L-37",1327.28571428571
62,"Ashwin Balaji","MI",1,1530,"W-55 U- U- U- U- U- U-",1186
63,"Thomas Joseph Hosmer","MI",1,1175,"L-2 L-48 D-49 L-43 L-45 H- U-",1350.2
